"","id","sex","age","rank_ba","rank_cg","rank_nb","roost","tutor_red","tutor_blue"
"276","GVO_H_BG","F",NA,NA,NA,NA,"5",0,0
"277","GBV_H_BG","M","A",NA,NA,NA,"5",0,0
"278","BGM_H_BG",NA,NA,NA,NA,NA,"5",0,0
"279","GBM_H_BG",NA,NA,NA,NA,NA,"5",0,0
"280","GVOG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"281","GVP_H_BG","F","A",NA,NA,NA,"5",0,0
"282","GB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"283","GNM_H_BG",NA,NA,NA,NA,NA,"5",0,0
"284","GV_H_BG","M","A",NA,NA,NA,"5",0,0
"285","GPM_H_BG","M","A",NA,NA,NA,"5",0,0
"286","GOB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"287","unmarked3",NA,NA,NA,NA,NA,NA,0,0
"288","GNT_H_BG",NA,NA,NA,NA,NA,"5",0,0
"289","GNG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"290","GTV_H_BG","F","A",NA,NA,NA,"5",0,0
"291","GN_H_BG",NA,NA,NA,NA,NA,"5",0,0
"292","GTO_H_BG",NA,NA,NA,NA,NA,"5",0,0
"293","GNV_H_BG","M","A",NA,NA,NA,"5",0,0
"294","GTG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"295","GMB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"296","GNO_H_BG","M","A",NA,NA,NA,"5",0,0
"297","NG_H_BG",NA,NA,NA,NA,NA,"5",0,0
"298","GPG_H_BG","M","A",NA,NA,NA,"5",0,0
"299","NP_H_BG",NA,NA,NA,NA,NA,"5",0,0
"300","PM_H_CG","F","A",NA,NA,NA,"5",0,0
"301","X142",NA,NA,NA,NA,NA,"5",0,0
"302","GBO_H_BG",NA,NA,NA,NA,NA,"5",0,0
"303","G_H_BG",NA,NA,NA,NA,NA,"5",0,0
"304","X143",NA,NA,NA,NA,NA,"5",0,0
"305","GPV_H_BG","M","A",NA,NA,NA,"5",0,0
"306","GVB_H_BG",NA,NA,NA,NA,NA,"5",0,0
"307","GMN_H_BG",NA,NA,NA,NA,NA,"5",0,0
"308","NO_H_BG",NA,NA,NA,NA,NA,"5",0,0
"309","GVT_H_BG",NA,NA,NA,NA,NA,"5",0,0
"310","GP_H_BG","M","A",NA,NA,NA,"5",0,0
"311","GPB_H_BG","M","A",NA,NA,NA,"5",0,0
"312","GVM_H_BG","F","A",NA,NA,NA,"5",0,0
"313","GTN_H_BG","M","A",NA,NA,NA,"5",0,0
"314","NV_H_BG",NA,NA,NA,NA,NA,"5",0,0
"315","TV_H",NA,NA,NA,NA,NA,"5",0,0
"316","NM_H_BG",NA,"J",NA,NA,NA,"5",0,0
"317","GM_H_BG","M","J",NA,NA,NA,"5",0,0
"318","GTP_H_BG","F","A",NA,NA,NA,"5",0,0
"319","NVP_H_BG","M","A",NA,NA,NA,"5",0,0
