"","DATE","SESSION","SUBJECT","COLOUR","REL.TIME","NBR.IND","DROPS","BEHAV","BEHAV1","BEHAV2","GROUP"
"177","20190815","1","OP_V_BA","1-RED",3382.687,"4","op","Rop","R","op","BA"
"178","20190815","1","TOP_V_BA","1-RED",3397.742,"3","op","Rop","R","op","BA"
"179","20190815","1","OP_V_BA","1-RED",3458.241,"3","op","Rop","R","op","BA"
"180","20190815","1","TOP_V_BA","1-RED",3479.297,"2","op","Rop","R","op","BA"
"181","20190815","1","BVB_V_BA","1-RED",3484.518,"4","op","Rop","R","op","BA"
"182","20190815","1","TMG_V_BA","1-RED",3522.243,"2","op","Rop","R","op","BA"
"183","20190815","1","BGP_V_BA","1-RED",3559.766,"3","op","Rop","R","op","BA"
"184","20190815","1","118","1-RED",3569.466,"2","op","Rop","R","op","BA"
"185","20190815","1","BVP_V_BA","1-RED",3575.234,"1","op","Rop","R","op","BA"
"186","20190815","1","TMG_V_BA","1-BLUE",3595.171,"4","op","Bop","B","op","BA"
"187","20190815","1","OVM_V_BA","1-RED",3615.191,"2","op","Rop","R","op","BA"
"188","20190815","1","BNO_V_BA","1-RED",3620.423,"2","op","Rop","R","op","BA"
"189","20190815","1","TOP_V_BA","1-BLUE",3623.846,"3","op","Bop","B","op","BA"
"190","20190815","1","OMN_V_BA","1-BLUE",3630.538,"3","op","Bop","B","op","BA"
"191","20190815","1","MVG_V_BA","1-RED",3643.702,"1","op","Rop","R","op","BA"
"192","20190815","1","MVG_V_BA","1-RED",3685.514,"2","op","Rop","R","op","BA"
"193","20190815","1","118","1-BLUE",3685.852,"2","op","Bop","B","op","BA"
"194","20190815","1","TMG_V_BA","1-RED",3691.009,"1","op","Rop","R","op","BA"
"195","20190815","1","OPV_V_BA","1-RED",3736.819,"2","op","Rop","R","op","BA"
"196","20190815","1","OP_V_BA","1-RED",3739.955,"2","op","Rop","R","op","BA"
"197","20190815","1","MVG_V_BA","1-RED",3745.254,"3","op","Rop","R","op","BA"
"198","20190815","1","TOP_V_BA","1-BLUE",3750.475,"3","op","Bop","B","op","BA"
"199","20190815","1","OVM_V_BA","1-RED",3764.321,"2","op","Rop","R","op","BA"
"200","20190815","1","OP_V_BA","1-RED",3792.399,"1","op","Rop","R","op","BA"
"201","20190815","1","118","1-RED",3795.822,"1","op","Rop","R","op","BA"
"202","20190815","1","TMG_V_BA","1-RED",3803.652,"1","op","Rop","R","op","BA"
"203","20190815","1","MVG_V_BA","1-RED",3807.776,"2","op","Rop","R","op","BA"
"204","20190815","1","TOP_V_BA","1-RED",3828.522,"0","op","Rop","R","op","BA"
"205","20190815","1","OVM_V_BA","1-RED",3855.729,"2","op","Rop","R","op","BA"
"206","20190815","1","MVG_V_BA","1-RED",3858.274,"3","op","Rop","R","op","BA"
"207","20190815","1","BMN_V_BA","1-RED",3862.477,"1","op","Rop","R","op","BA"
"208","20190815","1","118","1-RED",3885.25,"2","op","Rop","R","op","BA"
"209","20190815","1","TMG_V_BA","1-RED",3892.927,"4","op","Rop","R","op","BA"
"210","20190815","1","BPG_V_BA","1-RED",3895.531,"4","op","Rop","R","op","BA"
"211","20190815","1","BNO_V_BA","1-RED",3913.468,"3","op","Rop","R","op","BA"
"212","20190815","1","OVM_V_BA","1-RED",3943.03,"2","op","Rop","R","op","BA"
