"","x","date","session","subject","colour","rel_time","nbr_ind","drops","behav","behav1","behav2","group","choose_red","choose_blue","open","subject_index","n_obs_blue","n_obs_red","obs_index","ID_all_index","forg_bout"
"1306",1306,20190821,2,"TMG_V_BA","1-RED",1150.768,6,"drops","Rdr","R","dr","BA",1,0,0,88,0,0,1306,85,0
"1307",1307,20190821,2,"TMG_V_BA","1-RED",1154.567,4,"op","Rop","R","op","BA",1,0,1,88,0,0,1307,85,0
"1331",1331,20190821,2,"TMG_V_BA","1-BLUE",1263.927,3,"op","Bop","B","op","BA",0,1,1,88,0,0,1331,85,0
"1369",1369,20190821,2,"TMG_V_BA","1-RED",1516.793,6,"op","Rop","R","op","BA",1,0,1,88,0,0,1369,85,0
"1374",1374,20190821,2,"TMG_V_BA","1-BLUE",1555.072,6,"op","Bop","B","op","BA",0,1,1,88,0,0,1374,85,0
"1430",1430,20190821,2,"TMG_V_BA","1-RED",2006.509,4,"op","Rop","R","op","BA",1,0,1,88,0,0,1430,85,0
"1467",1467,20190821,2,"TMG_V_BA","1-RED",2217.259,8,"op","Rop","R","op","BA",1,0,1,88,0,0,1467,85,0
"1608",1608,20190822,1,"TMG_V_BA","1-BLUE",345.096,11,"op","Bop","B","op","BA",0,1,1,88,0,0,1608,85,0
"1637",1637,20190822,1,"TMG_V_BA","1-RED",398.486,9,"op","Rop","R","op","BA",1,0,1,88,0,0,1637,85,0
"1724",1724,20190822,1,"TMG_V_BA","1-RED",564.16,5,"op","Rop","R","op","BA",1,0,1,88,0,0,1724,85,0
"1755",1755,20190822,1,"TMG_V_BA","1-BLUE",663.4,5,"op","Bop","B","op","BA",0,1,1,88,0,0,1755,85,0
"1863",1863,20190822,1,"TMG_V_BA","1-RED",1045.9,7,"op","Rop","R","op","BA",1,0,1,88,0,0,1863,85,0
"1924",1924,20190822,1,"TMG_V_BA","1-BLUE",1164.416,7,"op","Bop","B","op","BA",0,1,1,88,0,0,1924,85,0
"1973",1973,20190822,1,"TMG_V_BA","1-RED",1299.531,7,"op","Rop","R","op","BA",1,0,1,88,0,0,1973,85,0
"220",220,20190816,1,"TMP_V_BA","1-RED",178.98,1,"op","Rop","R","op","BA",1,0,1,89,0,0,220,86,0
"237",237,20190816,1,"TMP_V_BA","1-RED",534.997,6,"op","Rop","R","op","BA",1,0,1,89,0,0,237,86,0
"258",258,20190816,1,"TMP_V_BA","1-RED",818.19,5,"op","Rop","R","op","BA",1,0,1,89,0,0,258,86,0
"273",273,20190816,1,"TMP_V_BA","1-RED",1070.846,6,"op","Rop","R","op","BA",1,0,1,89,0,0,273,86,0
"290",290,20190816,1,"TMP_V_BA","1-RED",1461.045,4,"op","Rop","R","op","BA",1,0,1,89,0,0,290,86,0
"327",327,20190816,1,"TMP_V_BA","1-RED",1970.717,7,"op","Rop","R","op","BA",1,0,1,89,0,0,327,86,0
"339",339,20190816,1,"TMP_V_BA","1-RED",2125.771,6,"op","Rop","R","op","BA",1,0,1,89,0,0,339,86,0
"345",345,20190816,1,"TMP_V_BA","1-RED",2194.09,4,"op","Rop","R","op","BA",1,0,1,89,0,0,345,86,0
"1498",1498,20190822,2,"TMP_V_BA","1-RED",164.6,10,"op","Rop","R","op","BA",1,0,1,89,1,1,1498,86,0
"1656",1656,20190822,2,"TMP_V_BA","1-RED",431.897,6,"op","Rop","R","op","BA",1,0,1,89,1,1,1656,86,0
"1664",1664,20190822,1,"TMP_V_BA","1-BLUE",452.575,9,"op","Bop","B","op","BA",0,1,1,89,1,1,1664,86,0
"1715",1715,20190822,2,"TMP_V_BA","1-BLUE",539.864,8,"op","Bop","B","op","BA",0,1,1,89,1,1,1715,86,0
"1730",1730,20190822,1,"TMP_V_BA","1-RED",580.201,8,"op","Rop","R","op","BA",1,0,1,89,1,1,1730,86,0
"1765",1765,20190822,2,"TMP_V_BA","1-RED",789.549,5,"op","Rop","R","op","BA",1,0,1,89,1,1,1765,86,0
"1770",1770,20190822,2,"TMP_V_BA","1-RED",801.096,8,"op","Rop","R","op","BA",1,0,1,89,1,1,1770,86,0
"1819",1819,20190822,2,"TMP_V_BA","1-RED",970.582,6,"op","Rop","R","op","BA",1,0,1,89,1,2,1819,86,0
"1827",1827,20190822,1,"TMP_V_BA","1-BLUE",979.461,5,"op","Bop","B","op","BA",0,1,1,89,1,2,1827,86,0
"1846",1846,20190822,2,"TMP_V_BA","1-RED",1016.599,8,"op","Rop","R","op","BA",1,0,1,89,1,2,1846,86,0
"1849",1849,20190822,1,"TMP_V_BA","1-RED",1020.18,6,"op","Rop","R","op","BA",1,0,1,89,1,2,1849,86,0
"1857",1857,20190822,2,"TMP_V_BA","1-RED",1038.562,6,"op","Rop","R","op","BA",1,0,1,89,1,2,1857,86,0
"1878",1878,20190822,2,"TMP_V_BA","1-BLUE",1077.619,7,"op","Bop","B","op","BA",0,1,1,89,1,2,1878,86,0
"1940",1940,20190822,1,"TMP_V_BA","1-RED",1203.956,6,"op","Rop","R","op","BA",1,0,1,89,1,2,1940,86,0
"1974",1974,20190822,1,"TMP_V_BA","1-RED",1299.718,7,"drops","Rdr","R","dr","BA",1,0,0,89,1,2,1974,86,0
"1975",1975,20190822,1,"TMP_V_BA","1-RED",1303.921,8,"op","Rop","R","op","BA",1,0,1,89,1,2,1975,86,0
"2004",2004,20190824,1,"TMP_V_BA","1-BLUE",194.177,18,"op","Bop","B","op","BA",0,1,1,89,1,2,2004,86,0
"2028",2028,20190824,1,"TMP_V_BA","1-RED",265.301,15,"op","Rop","R","op","BA",1,0,1,89,1,2,2028,86,0
"2055",2055,20190824,1,"TMP_V_BA","1-RED",349.222,10,"op","Rop","R","op","BA",1,0,1,89,1,2,2055,86,0
"2073",2073,20190824,1,"TMP_V_BA","1-RED",394.75,8,"op","Rop","R","op","BA",1,0,1,89,1,2,2073,86,0
"2111",2111,20190824,1,"TMP_V_BA","1-BLUE",509.058,11,"op","Bop","B","op","BA",0,1,1,89,1,2,2111,86,0
"2128",2128,20190824,1,"TMP_V_BA","1-RED",570.709,NA,"op","Rop","R","op","BA",1,0,1,89,1,2,2128,86,0
"2143",2143,20190824,1,"TMP_V_BA","1-BLUE",630.722,10,"op","Bop","B","op","BA",0,1,1,89,1,2,2143,86,0
"2148",2148,20190824,1,"TMP_V_BA","1-BLUE",721.838,5,"op","Bop","B","op","BA",0,1,1,89,1,2,2148,86,0
"2160",2160,20190824,1,"TMP_V_BA","1-RED",749.427,NA,"op","Rop","R","op","BA",1,0,1,89,1,2,2160,86,0
